l_vel X,l_vel Y,l_vel Z,t
0.0890965610742569,-0.03653797134757042,-0.16323038935661316,436
0.1048731878399849,-0.04008488729596138,-0.15559536218643188,437
0.12288271635770798,-0.043011125177145004,-0.13134828209877014,438
0.1358223855495453,-0.04521859437227249,-0.12414974719285965,439
0.147079199552536,-0.04877554625272751,-0.12909948825836182,440
0.15789726376533508,-0.05053141713142395,-0.11644082516431808,441
0.16536197066307068,-0.0534064806997776,-0.12900273501873016,442
0.17436453700065613,-0.0548742450773716,-0.11720168590545654,443
0.1830747276544571,-0.05567790940403938,-0.09617789834737778,444
0.1904611885547638,-0.055295977741479874,-0.06504349410533905,445
0.19600822031497955,-0.052968647330999374,-0.03375926986336708,446
0.19691947102546692,-0.051546860486269,-0.027015917003154755,447
0.1955651342868805,-0.05082540214061737,-0.030658511444926262,448
